"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 08 19:22:36 GMT 2024","Mon Jul 08 19:22:36 GMT 2024","3","MYFIRSTPROJECT  debugTest suite","MYFIRSTPROJECT  debugTest tests","smoke.GoogleSearchTest","smoke.GoogleSearchTest","googleSearchTest","googleSearchTest",""
"broken","Mon Jul 08 19:22:36 GMT 2024","Mon Jul 08 19:22:36 GMT 2024","133","MYFIRSTPROJECT  debugTest suite","MYFIRSTPROJECT  debugTest tests","smoke.GoogleSearchTest","smoke.GoogleSearchTest","setupBrowser","setupBrowser",""
