"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 05 12:25:31 GMT 2024","Mon Aug 05 12:26:16 GMT 2024","45378","","Login functionality","","Successful login with valid credentials","","Successful login with valid credentials",""
"failed","Mon Aug 05 12:25:31 GMT 2024","Mon Aug 05 12:26:16 GMT 2024","45105","","Login functionality","","Successful login with valid credentials","","Successful login with valid credentials",""
