"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 15:23:39 GMT 2024","Mon Aug 05 15:23:47 GMT 2024","8174","","Login functionality","","Failed login with invalid credentials","","Failed login with invalid credentials",""
"passed","Mon Aug 05 15:22:40 GMT 2024","Mon Aug 05 15:23:09 GMT 2024","29188","Selenide Test Example","Selenide","smoke.LetCodeAlertsTest","smoke.LetCodeAlertsTest","alertsTest","alertsTest",""
"passed","Mon Aug 05 15:22:40 GMT 2024","Mon Aug 05 15:22:45 GMT 2024","4651","Selenide Test Example","Selenide","smoke.HerokuappBasicAuthTest","smoke.HerokuappBasicAuthTest","herokuappBasicAuthTest","herokuappBasicAuthTest",""
"passed","Mon Aug 05 15:23:39 GMT 2024","Mon Aug 05 15:23:47 GMT 2024","8585","","Login functionality","","Failed login with invalid credentials","","Failed login with invalid credentials",""
"passed","Mon Aug 05 15:22:40 GMT 2024","Mon Aug 05 15:23:11 GMT 2024","30527","Selenide Test Example","Selenide","smoke.LetCodeAlertsTest","smoke.LetCodeAlertsTest","alertsTest","alertsTest",""
"passed","Mon Aug 05 15:22:40 GMT 2024","Mon Aug 05 15:22:59 GMT 2024","19300","Selenide Test Example","Selenide","smoke.GoogleSearchTest","smoke.GoogleSearchTest","googleSearchTest","googleSearchTest",""
"passed","Mon Aug 05 15:22:40 GMT 2024","Mon Aug 05 15:23:13 GMT 2024","33203","Selenide Test Example","Selenide","smoke.LetCodeAlertsTest","smoke.LetCodeAlertsTest","alertsTest","alertsTest",""
"passed","Mon Aug 05 15:22:40 GMT 2024","Mon Aug 05 15:23:11 GMT 2024","31241","Selenide Test Example","Selenide","smoke.LetCodeAlertsTest","smoke.LetCodeAlertsTest","alertsTest","alertsTest",""
