"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 09 07:20:13 GMT 2024","Tue Jul 09 07:20:13 GMT 2024","4","MYFIRSTPROJECT  debugTest suite","MYFIRSTPROJECT  debugTest tests","smoke.GoogleSearchTest","smoke.GoogleSearchTest","googleSearchTest","googleSearchTest",""
"broken","Tue Jul 09 07:20:13 GMT 2024","Tue Jul 09 07:20:13 GMT 2024","181","MYFIRSTPROJECT  debugTest suite","MYFIRSTPROJECT  debugTest tests","smoke.GoogleSearchTest","smoke.GoogleSearchTest","setupBrowser","setupBrowser",""
